ID_Record,Log ID,Time Stamp,User ID,IP Address,Hostname,Log Level,Status,Reference ID,Source,Log Error Code,Log Error Code Description
877,380785526,2015-07-08,U038002,247.209.179.37,vxm1g3rferxgzhg.com,CRITICAL,Timed Out,R073380,External Service,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
273,646259308,2011-05-21,U022345,165.235.150.196,t4f0mi8ub8xgrf2.com,NORMAL,Completed Successfully,R082285,Application,408 Request Timeout,Occurs when the server times out waiting for the request from the client.
373,446193995,2021-07-07,U001296,5.178.134.90,381vt4rek8zpcy.com,NORMAL,Pending,R033013,Error Handler,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
653,348593132,2013-03-04,U004134,79.84.62.147,n0csrtlqwxjp9v.com,NORMAL,Queued,R084740,Scheduler,404 Not Found,Logs when a requested resource could not be found on the server. Commonly occurs when a URL is mistyped or a page has been removed.
913,156651573,2014-07-17,U039551,100.7.230.40,vj5ubcz2sf7ld.com,NORMAL,Pending,R065306,Application,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
249,569613603,2021-06-27,U092667,220.196.176.229,1huvtycpgzno.com,NORMAL,Completed Successfully,R035458,Scheduler,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
710,709685586,2015-10-08,U026445,5.122.186.228,q1xsob3x.com,CRITICAL,Cancelled,R032256,Error Handler,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
485,390017078,2019-10-07,U066675,57.70.185.229,7beroz7sv.com,NORMAL,Queued,R002835,Application,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
786,278753346,2020-03-10,U002640,110.208.233.184,hg9uq41ornf.com,NORMAL,Pending,R016892,Network,412 Precondition Failed,Indicates that one or more conditions in the request header fields evaluated to false.
994,727099132,2010-07-04,U091093,236.135.49.148,pl59560.com,NORMAL,Completed Successfully,R078597,External Service,410 Gone,Indicates that the resource requested is no longer available and will not be available again.
338,701177273,2012-11-30,U066734,76.45.170.23,z56abu05.com,ERROR,Timed Out,R046755,External Service,410 Gone,Indicates that the resource requested is no longer available and will not be available again.
88,159907522,2011-06-24,U098772,179.38.222.183,dstaoogj.com,ERROR,Failed,R028531,Scheduler,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
552,873041001,2016-11-29,U068751,25.91.204.52,xyn4vfcqiqhbtb.com,ERROR,Cancelled,R006135,Security System,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
325,262071467,2018-07-27,U004405,133.76.70.70,poj0pob8ho.com,NORMAL,Queued,R005931,Error Handler,500 Internal Server Error,Indicates a generic error message when the server encounters an unexpected condition that prevents it from fulfilling the request.
230,567398210,2021-02-20,U085969,201.67.12.191,pizcfr4.com,WARNING,Timed Out,R092812,External Service,500 Internal Server Error,Indicates a generic error message when the server encounters an unexpected condition that prevents it from fulfilling the request.
693,678691158,2011-06-03,U011147,212.174.116.84,40xjt1nk8.com,NORMAL,Completed Successfully,R033364,Security System,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
571,568573278,2020-03-10,U011627,216.28.19.43,f0ybxbvtbc.com,NORMAL,Pending,R077763,System,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
